Date,open,high,low,close,volume
6/22/2021,31614.12,33298.78,28805,32509.56,204208.1798
6/23/2021,32509.56,34881,31683,33678.07,126966.1006
6/24/2021,33675.07,35298,32286.57,34663.09,86625.80426
6/25/2021,34663.08,35500,31275,31584.45,116061.1304
6/26/2021,31576.09,32730,30151,32283.65,107820.3753
6/27/2021,32283.65,34749,31973.45,34700.34,96613.24421
6/28/2021,34702.49,35297.71,33862.72,34494.89,82222.26782
6/29/2021,34494.89,36600,34225.43,35911.73,90788.79622
6/30/2021,35911.72,36100,34017.55,35045,77152.19763
7/1/2021,35045,35057.57,32711,33504.69,71708.26611
7/2/2021,33502.33,33977.04,32699,33786.55,56172.18138
7/3/2021,33786.54,34945.61,33316.73,34669.13,43044.57864
7/4/2021,34669.12,35967.85,34357.15,35286.51,43703.47579
7/5/2021,35288.13,35293.78,33125.55,33690.14,64123.87425
